cl_date,cs_date
2045-12-01,1956-12-31
2046-01-01,1957-01-31
2046-02-01,1957-02-28
2046-03-01,1957-03-31
2046-04-01,1957-04-30
2046-05-01,1957-05-31
2046-06-01,1957-06-30
2046-07-01,1957-07-31
2046-08-01,1957-08-31
2046-09-01,1957-09-30
2046-10-01,1957-10-31
2046-11-01,1957-11-30
2046-12-01,1957-12-31
2047-01-01,1958-01-31
2047-02-01,1958-02-28
2047-03-01,1958-03-31
2047-04-01,1958-04-30
2047-05-01,1958-05-31
2047-06-01,1958-06-30
2047-07-01,1958-07-31
2047-08-01,1958-08-31
2047-09-01,1958-09-30
2047-10-01,1958-10-31
2047-11-01,1958-11-30
2047-12-01,1958-12-31
2048-01-01,1959-01-31
2048-02-01,1959-02-28
2048-03-01,1959-03-31
2048-04-01,1959-04-30
2048-05-01,1959-05-31
2048-06-01,1959-06-30
2048-07-01,1959-07-31
2048-08-01,1959-08-31
2048-09-01,1959-09-30
2048-10-01,1959-10-31
2048-11-01,1959-11-30
2048-12-01,1959-12-31
2049-01-01,1960-01-31
2049-02-01,1960-02-29
2049-03-01,1960-03-31
2049-04-01,1960-04-30
2049-05-01,1960-05-31
2049-06-01,1960-06-30
2049-07-01,1960-07-31
2049-08-01,1960-08-31
2049-09-01,1960-09-30
2049-10-01,1960-10-31
2049-11-01,1960-11-30
2049-12-01,1960-12-31
2050-01-01,1961-01-31
2050-02-01,1961-02-28
2050-03-01,1961-03-31
2050-04-01,1961-04-30
2050-05-01,1961-05-31
2050-06-01,1961-06-30
2050-07-01,1961-07-31
2050-08-01,1961-08-31
2050-09-01,1961-09-30
2050-10-01,1961-10-31
2050-11-01,1961-11-30
2050-12-01,1961-12-31
2051-01-01,1962-01-31
2051-02-01,1962-02-28
2051-03-01,1962-03-31
2051-04-01,1962-04-30
2051-05-01,1962-05-31
2051-06-01,1962-06-30
2051-07-01,1962-07-31
2051-08-01,1962-08-31
2051-09-01,1962-09-30
2051-10-01,1962-10-31
2051-11-01,1962-11-30
2051-12-01,1962-12-31
2052-01-01,1963-01-31
2052-02-01,1963-02-28
2052-03-01,1963-03-31
2052-04-01,1963-04-30
2052-05-01,1963-05-31
2052-06-01,1963-06-30
2052-07-01,1963-07-31
2052-08-01,1963-08-31
2052-09-01,1963-09-30
2052-10-01,1963-10-31
2052-11-01,1963-11-30
2052-12-01,1963-12-31
2053-01-01,1964-01-31
2053-02-01,1964-02-29
2053-03-01,1964-03-31
2053-04-01,1964-04-30
2053-05-01,1964-05-31
2053-06-01,1964-06-30
2053-07-01,1964-07-31
2053-08-01,1964-08-31
2053-09-01,1964-09-30
2053-10-01,1964-10-31
2053-11-01,1964-11-30
2053-12-01,1964-12-31
2054-01-01,1965-01-31
2054-02-01,1965-02-28
2054-03-01,1965-03-31
2054-04-01,1965-04-30
2054-05-01,1965-05-31
2054-06-01,1965-06-30
2054-07-01,1965-07-31
2054-08-01,1965-08-31
2054-09-01,1965-09-30
2054-10-01,1965-10-31
2054-11-01,1965-11-30
2054-12-01,1965-12-31
2055-01-01,1966-01-31
2055-02-01,1966-02-28
